File Name,Domain Name, Private_IP_Found_In_Default_DNS,Private_IP_Found_In_Public_DNS,Default DNS IP's found in Public DNS, Domain Doesn't Work but IP Does,Response Code,Default DNS IP Address,Public DNS Response Codes,All Domain Response Codes,All Default DNS Response Codes,All Public DNS Response Codes,,Method
ISP_../results/BS_IINet_25APr_2024.csv,https://prox4you.pro/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='prox4you.pro'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a9d370>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['410'],"[""HTTPSConnectionPool(host='prox4you.pro'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a9d370>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['410'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,http://prox4you.info/,FALSE,FALSE,FALSE,FALSE,200,['200'],['410'],['200'],['200'],['410'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",DNS Poisoning
ISP_../results/BS_IINet_25APr_2024.csv,https://unblocked.to/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='unblocked.to'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a6d430>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],"['""(\'Connection aborted.\'; RemoteDisconnected(\'Remote end closed connection without response\'))""']","[""HTTPSConnectionPool(host='unblocked.to'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a6d430>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],"['""(\'Connection aborted.\'; RemoteDisconnected(\'Remote end closed connection without response\'))""']","['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,https://prostylex.org/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='prostylex.org'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a9fe90>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['200'],"[""HTTPSConnectionPool(host='prostylex.org'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a9fe90>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['200'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,https://torrents.io,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='torrents.io'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111b30680>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],[''],"[""HTTPSConnectionPool(host='torrents.io'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111b30680>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],[''],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,https://katcr.co/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='katcr.co'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1074665a0>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],[''],"[""HTTPSConnectionPool(host='katcr.co'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1074665a0>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],[''],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,https://kikass.to/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='kikass.to'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111d4ab70>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['403'],"[""HTTPSConnectionPool(host='kikass.to'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111d4ab70>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['403'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,https://kat.sx/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='kat.sx'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a9f380>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['403'],"[""HTTPSConnectionPool(host='kat.sx'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a9f380>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['403'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,https://kickass.sx/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='kickass.sx'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a9caa0>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['403'],"[""HTTPSConnectionPool(host='kickass.sx'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a9caa0>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['403'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,https://kickass1.to/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='kickass1.to'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111b29c10>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['200'],"[""HTTPSConnectionPool(host='kickass1.to'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111b29c10>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['200'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
